"county","cousub23","sldl22","CountyName","MCDName","pop20","afact"
"Connecticut planning region","County subdivision","State legislative district, lower (2022)","County name","County subdivision / MCD name","Total population (2020 Census)","cousub23-to-sldl22 allocation factor"
"09110","01080","055","Capitol Planning Region, CT","Andover town, Capitol Planning Region CT",3151,1 
"09110","02060","017","Capitol Planning Region, CT","Avon town, Capitol Planning Region CT",14151,0.7475 
"09110","02060","019","Capitol Planning Region, CT","Avon town, Capitol Planning Region CT",4781,0.2525 
"09110","04300","030","Capitol Planning Region, CT","Berlin town, Capitol Planning Region CT",13914,0.6897 
"09110","04300","083","Capitol Planning Region, CT","Berlin town, Capitol Planning Region CT",6261,0.3103 
"09110","05910","015","Capitol Planning Region, CT","Bloomfield town, Capitol Planning Region CT",21535,1 
"09110","06260","008","Capitol Planning Region, CT","Bolton town, Capitol Planning Region CT",2274,0.4681 
"09110","06260","055","Capitol Planning Region, CT","Bolton town, Capitol Planning Region CT",2584,0.5319 
"09110","12270","017","Capitol Planning Region, CT","Canton town, Capitol Planning Region CT",10124,1 
"09110","16400","008","Capitol Planning Region, CT","Columbia town, Capitol Planning Region CT",5272,1 
"09110","17800","008","Capitol Planning Region, CT","Coventry town, Capitol Planning Region CT",12235,1 
"09110","22070","061","Capitol Planning Region, CT","East Granby town, Capitol Planning Region CT",5214,1 
"09110","22630","009","Capitol Planning Region, CT","East Hartford town, Capitol Planning Region CT",11528,0.2258 
"09110","22630","010","Capitol Planning Region, CT","East Hartford town, Capitol Planning Region CT",23570,0.4617 
"09110","22630","011","Capitol Planning Region, CT","East Hartford town, Capitol Planning Region CT",15947,0.3124 
"09110","24800","057","Capitol Planning Region, CT","East Windsor town, Capitol Planning Region CT",4500,0.4021 
"09110","24800","059","Capitol Planning Region, CT","East Windsor town, Capitol Planning Region CT",6690,0.5979 
"09110","25360","057","Capitol Planning Region, CT","Ellington town, Capitol Planning Region CT",16426,1 
"09110","25990","058","Capitol Planning Region, CT","Enfield town, Capitol Planning Region CT",23370,0.5546 
"09110","25990","059","Capitol Planning Region, CT","Enfield town, Capitol Planning Region CT",18771,0.4454 
"09110","27600","021","Capitol Planning Region, CT","Farmington town, Capitol Planning Region CT",23917,0.8954 
"09110","27600","022","Capitol Planning Region, CT","Farmington town, Capitol Planning Region CT",2795,0.1046 
"09110","31240","013","Capitol Planning Region, CT","Glastonbury town, Capitol Planning Region CT",7292,0.2074 
"09110","31240","031","Capitol Planning Region, CT","Glastonbury town, Capitol Planning Region CT",24087,0.6851 
"09110","31240","055","Capitol Planning Region, CT","Glastonbury town, Capitol Planning Region CT",3780,0.1075 
"09110","32640","062","Capitol Planning Region, CT","Granby town, Capitol Planning Region CT",10903,1 
"09110","37070","001","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",22562,0.1863 
"09110","37070","003","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",22825,0.1885 
"09110","37070","004","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",23476,0.1939 
"09110","37070","005","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",8081,0.0667 
"09110","37070","006","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",21479,0.1774 
"09110","37070","007","Capitol Planning Region, CT","Hartford town, Capitol Planning Region CT",22659,0.1871 
"09110","37910","055","Capitol Planning Region, CT","Hebron town, Capitol Planning Region CT",9098,1 
"09110","44700","009","Capitol Planning Region, CT","Manchester town, Capitol Planning Region CT",11824,0.198 
"09110","44700","011","Capitol Planning Region, CT","Manchester town, Capitol Planning Region CT",7488,0.1254 
"09110","44700","012","Capitol Planning Region, CT","Manchester town, Capitol Planning Region CT",24275,0.4065 
"09110","44700","013","Capitol Planning Region, CT","Manchester town, Capitol Planning Region CT",16126,0.2701 
"09110","44910","050","Capitol Planning Region, CT","Mansfield town, Capitol Planning Region CT",2030,0.0784 
"09110","44910","054","Capitol Planning Region, CT","Mansfield town, Capitol Planning Region CT",23862,0.9216 
"09110","45820","055","Capitol Planning Region, CT","Marlborough town, Capitol Planning Region CT",6133,1 
"09110","50440","024","Capitol Planning Region, CT","New Britain town, Capitol Planning Region CT",23653,0.3191 
"09110","50440","025","Capitol Planning Region, CT","New Britain town, Capitol Planning Region CT",23675,0.3193 
"09110","50440","026","Capitol Planning Region, CT","New Britain town, Capitol Planning Region CT",23704,0.3197 
"09110","50440","027","Capitol Planning Region, CT","New Britain town, Capitol Planning Region CT",3103,0.0419 
"09110","52140","020","Capitol Planning Region, CT","Newington town, Capitol Planning Region CT",9213,0.3017 
"09110","52140","027","Capitol Planning Region, CT","Newington town, Capitol Planning Region CT",21323,0.6983 
"09110","60120","022","Capitol Planning Region, CT","Plainville town, Capitol Planning Region CT",17525,1 
"09110","65370","029","Capitol Planning Region, CT","Rocky Hill town, Capitol Planning Region CT",20845,1 
"09110","68940","016","Capitol Planning Region, CT","Simsbury town, Capitol Planning Region CT",24517,1 
"09110","69220","052","Capitol Planning Region, CT","Somers town, Capitol Planning Region CT",10255,1 
"09110","70550","022","Capitol Planning Region, CT","Southington town, Capitol Planning Region CT",3412,0.0784 
"09110","70550","030","Capitol Planning Region, CT","Southington town, Capitol Planning Region CT",9521,0.2189 
"09110","70550","080","Capitol Planning Region, CT","Southington town, Capitol Planning Region CT",7053,0.1621 
"09110","70550","081","Capitol Planning Region, CT","Southington town, Capitol Planning Region CT",23515,0.5406 
"09110","71390","005","Capitol Planning Region, CT","South Windsor town, Capitol Planning Region CT",3275,0.1217 
"09110","71390","014","Capitol Planning Region, CT","South Windsor town, Capitol Planning Region CT",23643,0.8783 
"09110","72090","052","Capitol Planning Region, CT","Stafford town, Capitol Planning Region CT",11472,1 
"09110","74540","061","Capitol Planning Region, CT","Suffield town, Capitol Planning Region CT",15752,1 
"09110","76290","008","Capitol Planning Region, CT","Tolland town, Capitol Planning Region CT",1079,0.0741 
"09110","76290","053","Capitol Planning Region, CT","Tolland town, Capitol Planning Region CT",13484,0.9259 
"09110","78250","053","Capitol Planning Region, CT","Vernon town, Capitol Planning Region CT",4366,0.1443 
"09110","78250","056","Capitol Planning Region, CT","Vernon town, Capitol Planning Region CT",23077,0.7629 
"09110","78250","057","Capitol Planning Region, CT","Vernon town, Capitol Planning Region CT",2806,0.0928 
"09110","82590","006","Capitol Planning Region, CT","West Hartford town, Capitol Planning Region CT",2138,0.0333 
"09110","82590","015","Capitol Planning Region, CT","West Hartford town, Capitol Planning Region CT",2168,0.0338 
"09110","82590","018","Capitol Planning Region, CT","West Hartford town, Capitol Planning Region CT",24371,0.3798 
"09110","82590","019","Capitol Planning Region, CT","West Hartford town, Capitol Planning Region CT",19923,0.3105 
"09110","82590","020","Capitol Planning Region, CT","West Hartford town, Capitol Planning Region CT",15567,0.2426 
"09110","84900","028","Capitol Planning Region, CT","Wethersfield town, Capitol Planning Region CT",24217,0.8871 
"09110","84900","029","Capitol Planning Region, CT","Wethersfield town, Capitol Planning Region CT",3081,0.1129 
"09110","85950","053","Capitol Planning Region, CT","Willington town, Capitol Planning Region CT",5566,1 
"09110","87000","005","Capitol Planning Region, CT","Windsor town, Capitol Planning Region CT",13007,0.441 
"09110","87000","060","Capitol Planning Region, CT","Windsor town, Capitol Planning Region CT",16485,0.559 
"09110","87070","060","Capitol Planning Region, CT","Windsor Locks town, Capitol Planning Region CT",7758,0.6151 
"09110","87070","061","Capitol Planning Region, CT","Windsor Locks town, Capitol Planning Region CT",4855,0.3849 
"09120","08070","124","Greater Bridgeport Planning Region, CT","Bridgeport town, Greater Bridgeport Planning Region CT",23614,0.1589 
